game,cardName,set,rarity,conditions,minPrice,maxPrice,keywords,active
pokemon,グルーシャ,sv2P スノーハザード,SAR,"NM,LP",3000,50000,グルーシャ SAR sv2P,true
pokemon,グルーシャ,sv2P スノーハザード,SAR,"NM",10000,200000,グルーシャ SAR sv2P PSA10,true
pokemon,グルーシャ,sv2P スノーハザード,SR,"NM,LP",1000,20000,グルーシャ SR sv2P,true
pokemon,グルーシャ,sv2P スノーハザード,SR,"NM",3000,80000,グルーシャ SR sv2P PSA10,true
pokemon,サカキのカリスマ,sv2a ポケモンカード151,SAR,"NM,LP",3000,50000,サカキのカリスマ SAR sv2a,true
pokemon,サカキのカリスマ,sv2a ポケモンカード151,SAR,"NM",10000,200000,サカキのカリスマ SAR sv2a PSA10,true
pokemon,エリカの招待,sv2a ポケモンカード151,SAR,"NM,LP",3000,50000,エリカの招待 SAR sv2a,true
pokemon,エリカの招待,sv2a ポケモンカード151,SAR,"NM",10000,200000,エリカの招待 SAR sv2a PSA10,true
pokemon,エリカの招待,sv2a ポケモンカード151,SR,"NM,LP",1000,20000,エリカの招待 SR sv2a,true
pokemon,エリカの招待,sv2a ポケモンカード151,SR,"NM",3000,80000,エリカの招待 SR sv2a PSA10,true
pokemon,ポピー,sv3 黒炎の支配者,SAR,"NM,LP",3000,50000,ポピー SAR sv3,true
pokemon,ポピー,sv3 黒炎の支配者,SAR,"NM",10000,200000,ポピー SAR sv3 PSA10,true
pokemon,チリ,sv3a レイジングサーフ,SAR,"NM,LP",3000,50000,チリ SAR sv3a,true
pokemon,チリ,sv3a レイジングサーフ,SAR,"NM",10000,200000,チリ SAR sv3a PSA10,true
pokemon,パラソルおねえさん,sv3a レイジングサーフ,SAR,"NM,LP",3000,50000,パラソルおねえさん SAR sv3a,true
pokemon,パラソルおねえさん,sv3a レイジングサーフ,SAR,"NM",10000,200000,パラソルおねえさん SAR sv3a PSA10,true
pokemon,サーフゴーex,sv3a レイジングサーフ,SAR,"NM,LP",3000,50000,サーフゴーex SAR sv3a,true
pokemon,サーフゴーex,sv3a レイジングサーフ,SAR,"NM",10000,200000,サーフゴーex SAR sv3a PSA10,true
pokemon,リップ,sv4M 未来の一閃,SAR,"NM,LP",3000,50000,リップ SAR sv4M,true
pokemon,リップ,sv4M 未来の一閃,SAR,"NM",10000,200000,リップ SAR sv4M PSA10,true
pokemon,メロコ,sv4K 古代の咆哮,SAR,"NM,LP",3000,50000,メロコ SAR sv4K,true
pokemon,メロコ,sv4K 古代の咆哮,SAR,"NM",10000,200000,メロコ SAR sv4K PSA10,true
pokemon,ネモ,sv4a シャイニートレジャーex,SAR,"NM,LP",3000,50000,ネモ SAR sv4a,true
pokemon,ネモ,sv4a シャイニートレジャーex,SAR,"NM",10000,200000,ネモ SAR sv4a PSA10,true
pokemon,ペパー,sv1V バイオレットex,SAR,"NM,LP",3000,50000,ペパー SAR sv1V,true
pokemon,ペパー,sv1V バイオレットex,SAR,"NM",10000,200000,ペパー SAR sv1V PSA10,true
pokemon,ペパー,sv4a シャイニートレジャーex,SAR,"NM,LP",3000,50000,ペパー SAR sv4a,true
pokemon,ペパー,sv4a シャイニートレジャーex,SAR,"NM",10000,200000,ペパー SAR sv4a PSA10,true
pokemon,オーリム博士の気迫,sv4K 古代の咆哮,SAR,"NM,LP",3000,50000,オーリム博士の気迫 SAR sv4K,true
pokemon,オーリム博士の気迫,sv4K 古代の咆哮,SAR,"NM",10000,200000,オーリム博士の気迫 SAR sv4K PSA10,true
pokemon,フトゥー博士のシナリオ,sv4M 未来の一閃,SAR,"NM,LP",3000,50000,フトゥー博士のシナリオ SAR sv4M,true
pokemon,フトゥー博士のシナリオ,sv4M 未来の一閃,SAR,"NM",10000,200000,フトゥー博士のシナリオ SAR sv4M PSA10,true
pokemon,ビワ,sv5K ワイルドフォース,SAR,"NM,LP",3000,50000,ビワ SAR sv5K,true
pokemon,ビワ,sv5K ワイルドフォース,SAR,"NM",10000,200000,ビワ SAR sv5K PSA10,true
pokemon,ベルのまごころ,sv5M サイバージャッジ,SAR,"NM,LP",3000,50000,ベルのまごころ SAR sv5M,true
pokemon,ベルのまごころ,sv5M サイバージャッジ,SAR,"NM",10000,200000,ベルのまごころ SAR sv5M PSA10,true
pokemon,サザレ,sv5a クリムゾンヘイズ,SAR,"NM,LP",3000,50000,サザレ SAR sv5a,true
pokemon,サザレ,sv5a クリムゾンヘイズ,SAR,"NM",10000,200000,サザレ SAR sv5a PSA10,true
pokemon,スイレンのお世話,sv5a クリムゾンヘイズ,SAR,"NM,LP",3000,50000,スイレンのお世話 SAR sv5a,true
pokemon,スイレンのお世話,sv5a クリムゾンヘイズ,SAR,"NM",10000,200000,スイレンのお世話 SAR sv5a PSA10,true
pokemon,ゼイユ,sv6 変幻の仮面,SAR,"NM,LP",3000,50000,ゼイユ SAR sv6,true
pokemon,ゼイユ,sv6 変幻の仮面,SAR,"NM",10000,200000,ゼイユ SAR sv6 PSA10,true
pokemon,スグリ,sv6 変幻の仮面,SAR,"NM,LP",3000,50000,スグリ SAR sv6,true
pokemon,スグリ,sv6 変幻の仮面,SAR,"NM",10000,200000,スグリ SAR sv6 PSA10,true
pokemon,タロ,sv7 ステラミラクル,SAR,"NM,LP",3000,50000,タロ SAR sv7,true
pokemon,タロ,sv7 ステラミラクル,SAR,"NM",10000,200000,タロ SAR sv7 PSA10,true
pokemon,ブライア,sv7 ステラミラクル,SAR,"NM,LP",3000,50000,ブライア SAR sv7,true
pokemon,ブライア,sv7 ステラミラクル,SAR,"NM",10000,200000,ブライア SAR sv7 PSA10,true
pokemon,アカマツ,sv7 ステラミラクル,SAR,"NM,LP",3000,50000,アカマツ SAR sv7,true
pokemon,アカマツ,sv7 ステラミラクル,SAR,"NM",10000,200000,アカマツ SAR sv7 PSA10,true
pokemon,カシオペア,sv6a ナイトワンダラー,SAR,"NM,LP",3000,50000,カシオペア SAR sv6a,true
pokemon,カシオペア,sv6a ナイトワンダラー,SAR,"NM",10000,200000,カシオペア SAR sv6a PSA10,true
pokemon,アンズの秘技,sv6a ナイトワンダラー,SAR,"NM,LP",3000,50000,アンズの秘技 SAR sv6a,true
pokemon,アンズの秘技,sv6a ナイトワンダラー,SAR,"NM",10000,200000,アンズの秘技 SAR sv6a PSA10,true
pokemon,アクロマの執念,sv6a ナイトワンダラー,SAR,"NM,LP",3000,50000,アクロマの執念 SAR sv6a,true
pokemon,アクロマの執念,sv6a ナイトワンダラー,SAR,"NM",10000,200000,アクロマの執念 SAR sv6a PSA10,true
pokemon,リザードンex,sv2a ポケモンカード151,SAR,"NM,LP",3000,50000,リザードンex SAR sv2a,true
pokemon,リザードンex,sv2a ポケモンカード151,SAR,"NM",10000,200000,リザードンex SAR sv2a PSA10,true
pokemon,リザードンex,sv3 黒炎の支配者,SAR,"NM,LP",3000,50000,リザードンex SAR sv3,true
pokemon,リザードンex,sv3 黒炎の支配者,SAR,"NM",10000,200000,リザードンex SAR sv3 PSA10,true
pokemon,リザードンVSTAR,s9 スターバース,HR,"NM,LP",2000,30000,リザードンVSTAR HR s9,true
pokemon,リザードンVSTAR,s9 スターバース,HR,"NM",5000,100000,リザードンVSTAR HR s9 PSA10,true
pokemon,リザードンVMAX,s4a シャイニースターV,SSR,"NM,LP",3000,50000,リザードンVMAX SSR s4a,true
pokemon,リザードンVMAX,s4a シャイニースターV,SSR,"NM",10000,200000,リザードンVMAX SSR s4a PSA10,true
pokemon,リザードンGX,sm3H 闘う虹を見たか,HR,"NM,LP",2000,30000,リザードンGX HR sm3H,true
pokemon,リザードンGX,sm3H 闘う虹を見たか,HR,"NM",5000,100000,リザードンGX HR sm3H PSA10,true
pokemon,リザードン,旧裏,旧裏,"NM,LP",1000,50000,リザードン 旧裏,true
pokemon,リザードン,旧裏,旧裏,"NM",3000,100000,リザードン 旧裏 PSA10,true
pokemon,ピカチュウ,sv1a トリプレットビート,AR,"NM,LP",500,8000,ピカチュウ AR sv1a,true
pokemon,ピカチュウ,sv1a トリプレットビート,AR,"NM",1000,30000,ピカチュウ AR sv1a PSA10,true
pokemon,ピカチュウ,sm11b ドリームリーグ,CHR,"NM,LP",500,8000,ピカチュウ CHR sm11b,true
pokemon,ピカチュウ,sm11b ドリームリーグ,CHR,"NM",1000,30000,ピカチュウ CHR sm11b PSA10,true
pokemon,ピカチュウ,001/S-P プロモ,プロモ,"NM,LP",300,8000,ピカチュウ プロモ 001/S-P,true
pokemon,ピカチュウ,001/S-P プロモ,プロモ,"NM",1000,30000,ピカチュウ プロモ 001/S-P PSA10,true
pokemon,ピカチュウ,323/S-P プロモ,プロモ,"NM,LP",300,8000,ピカチュウ プロモ 323/S-P,true
pokemon,ピカチュウ,323/S-P プロモ,プロモ,"NM",1000,30000,ピカチュウ プロモ 323/S-P PSA10,true
pokemon,ピカチュウVMAX,s4 仰天のボルテッカー,HR,"NM,LP",2000,30000,ピカチュウVMAX HR s4,true
pokemon,ピカチュウVMAX,s4 仰天のボルテッカー,HR,"NM",5000,100000,ピカチュウVMAX HR s4 PSA10,true
pokemon,おいわいファンファーレ,2021 プロモ,プロモ,"NM,LP",300,8000,おいわいファンファーレ プロモ 2021,true
pokemon,おいわいファンファーレ,2021 プロモ,プロモ,"NM",1000,30000,おいわいファンファーレ プロモ 2021 PSA10,true
pokemon,ブラッキーVMAX,s6a イーブイヒーローズ,HR,"NM,LP",2000,30000,ブラッキーVMAX HR s6a,true
pokemon,ブラッキーVMAX,s6a イーブイヒーローズ,HR,"NM",5000,100000,ブラッキーVMAX HR s6a PSA10,true
pokemon,ブラッキーV,s6a イーブイヒーローズ,SR,"NM,LP",1000,20000,ブラッキーV SR s6a,true
pokemon,ブラッキーV,s6a イーブイヒーローズ,SR,"NM",3000,80000,ブラッキーV SR s6a PSA10,true
pokemon,ニンフィアVMAX,s6a イーブイヒーローズ,HR,"NM,LP",2000,30000,ニンフィアVMAX HR s6a,true
pokemon,ニンフィアVMAX,s6a イーブイヒーローズ,HR,"NM",5000,100000,ニンフィアVMAX HR s6a PSA10,true
pokemon,グレイシアVMAX,s6a イーブイヒーローズ,HR,"NM,LP",2000,30000,グレイシアVMAX HR s6a,true
pokemon,グレイシアVMAX,s6a イーブイヒーローズ,HR,"NM",5000,100000,グレイシアVMAX HR s6a PSA10,true
pokemon,リーフィアVMAX,s6a イーブイヒーローズ,HR,"NM,LP",2000,30000,リーフィアVMAX HR s6a,true
pokemon,リーフィアVMAX,s6a イーブイヒーローズ,HR,"NM",5000,100000,リーフィアVMAX HR s6a PSA10,true
pokemon,エーフィVMAX,s6a イーブイヒーローズ,SA,"NM,LP",2000,30000,エーフィVMAX SA s6a,true
pokemon,エーフィVMAX,s6a イーブイヒーローズ,SA,"NM",5000,100000,エーフィVMAX SA s6a PSA10,true
pokemon,ミュウVMAX,s8 フュージョンアーツ,HR,"NM,LP",2000,30000,ミュウVMAX HR s8,true
pokemon,ミュウVMAX,s8 フュージョンアーツ,HR,"NM",5000,100000,ミュウVMAX HR s8 PSA10,true
pokemon,ミュウツーGX,sm3+ ひかる伝説,HR,"NM,LP",2000,30000,ミュウツーGX HR sm3+,true
pokemon,ミュウツーGX,sm3+ ひかる伝説,HR,"NM",5000,100000,ミュウツーGX HR sm3+ PSA10,true
pokemon,ミュウex,sv2a ポケモンカード151,SAR,"NM,LP",3000,50000,ミュウex SAR sv2a,true
pokemon,ミュウex,sv2a ポケモンカード151,SAR,"NM",10000,200000,ミュウex SAR sv2a PSA10,true
pokemon,ゲッコウガex,sv5a クリムゾンヘイズ,SAR,"NM,LP",3000,50000,ゲッコウガex SAR sv5a,true
pokemon,ゲッコウガex,sv5a クリムゾンヘイズ,SAR,"NM",10000,200000,ゲッコウガex SAR sv5a PSA10,true
pokemon,サーナイトex,sv1S スカーレットex,SAR,"NM,LP",3000,50000,サーナイトex SAR sv1S,true
pokemon,サーナイトex,sv1S スカーレットex,SAR,"NM",10000,200000,サーナイトex SAR sv1S PSA10,true
pokemon,ミライドンex,sv1V バイオレットex,SAR,"NM,LP",3000,50000,ミライドンex SAR sv1V,true
pokemon,ミライドンex,sv1V バイオレットex,SAR,"NM",10000,200000,ミライドンex SAR sv1V PSA10,true
pokemon,コライドンex,sv1S スカーレットex,SAR,"NM,LP",3000,50000,コライドンex SAR sv1S,true
pokemon,コライドンex,sv1S スカーレットex,SAR,"NM",10000,200000,コライドンex SAR sv1S PSA10,true
pokemon,ギラティナV,s11 ロストアビス,SR,"NM,LP",1000,20000,ギラティナV SR s11,true
pokemon,ギラティナV,s11 ロストアビス,SR,"NM",3000,80000,ギラティナV SR s11 PSA10,true
pokemon,ルギアV,s12 パラダイムトリガー,SR,"NM,LP",1000,20000,ルギアV SR s12,true
pokemon,ルギアV,s12 パラダイムトリガー,SR,"NM",3000,80000,ルギアV SR s12 PSA10,true
pokemon,レックウザVMAX,s7R 蒼空ストリーム,HR,"NM,LP",2000,30000,レックウザVMAX HR s7R,true
pokemon,レックウザVMAX,s7R 蒼空ストリーム,HR,"NM",5000,100000,レックウザVMAX HR s7R PSA10,true
pokemon,カイリューV,s7R 蒼空ストリーム,SR,"NM,LP",1000,20000,カイリューV SR s7R,true
pokemon,カイリューV,s7R 蒼空ストリーム,SR,"NM",3000,80000,カイリューV SR s7R PSA10,true
pokemon,バンギラスV,s5I 一撃マスター,SR,"NM,LP",1000,20000,バンギラスV SR s5I,true
pokemon,バンギラスV,s5I 一撃マスター,SR,"NM",3000,80000,バンギラスV SR s5I PSA10,true
pokemon,アルセウスVSTAR,s9 スターバース,UR,"NM,LP",2000,30000,アルセウスVSTAR UR s9,true
pokemon,アルセウスVSTAR,s9 スターバース,UR,"NM",5000,100000,アルセウスVSTAR UR s9 PSA10,true
pokemon,オリジンパルキアVSTAR,s10P スペースジャグラー,UR,"NM,LP",2000,30000,オリジンパルキアVSTAR UR s10P,true
pokemon,オリジンパルキアVSTAR,s10P スペースジャグラー,UR,"NM",5000,100000,オリジンパルキアVSTAR UR s10P PSA10,true
pokemon,オリジンディアルガVSTAR,s10D タイムゲイザー,UR,"NM,LP",2000,30000,オリジンディアルガVSTAR UR s10D,true
pokemon,オリジンディアルガVSTAR,s10D タイムゲイザー,UR,"NM",5000,100000,オリジンディアルガVSTAR UR s10D PSA10,true
pokemon,ガラルファイヤーV,s5a 双璧のファイター,SR,"NM,LP",1000,20000,ガラルファイヤーV SR s5a,true
pokemon,ガラルファイヤーV,s5a 双璧のファイター,SR,"NM",3000,80000,ガラルファイヤーV SR s5a PSA10,true
pokemon,マスカーニャex,sv1a トリプレットビート,SAR,"NM,LP",3000,50000,マスカーニャex SAR sv1a,true
pokemon,マスカーニャex,sv1a トリプレットビート,SAR,"NM",10000,200000,マスカーニャex SAR sv1a PSA10,true
pokemon,ラウドボーンex,sv1a トリプレットビート,SAR,"NM,LP",3000,50000,ラウドボーンex SAR sv1a,true
pokemon,ラウドボーンex,sv1a トリプレットビート,SAR,"NM",10000,200000,ラウドボーンex SAR sv1a PSA10,true
pokemon,ウェーニバルex,sv1a トリプレットビート,SAR,"NM,LP",3000,50000,ウェーニバルex SAR sv1a,true
pokemon,ウェーニバルex,sv1a トリプレットビート,SAR,"NM",10000,200000,ウェーニバルex SAR sv1a PSA10,true
pokemon,ミュウツーVSTAR,s12a VSTARユニバース,SAR,"NM,LP",3000,50000,ミュウツーVSTAR SAR s12a,true
pokemon,ミュウツーVSTAR,s12a VSTARユニバース,SAR,"NM",10000,200000,ミュウツーVSTAR SAR s12a PSA10,true
pokemon,リザードンVSTAR,s12a VSTARユニバース,SAR,"NM,LP",3000,50000,リザードンVSTAR SAR s12a,true
pokemon,リザードンVSTAR,s12a VSTARユニバース,SAR,"NM",10000,200000,リザードンVSTAR SAR s12a PSA10,true
pokemon,アルセウスVSTAR,s12a VSTARユニバース,SAR,"NM,LP",3000,50000,アルセウスVSTAR SAR s12a,true
pokemon,アルセウスVSTAR,s12a VSTARユニバース,SAR,"NM",10000,200000,アルセウスVSTAR SAR s12a PSA10,true
pokemon,ギラティナVSTAR,s12a VSTARユニバース,UR,"NM,LP",2000,30000,ギラティナVSTAR UR s12a,true
pokemon,ギラティナVSTAR,s12a VSTARユニバース,UR,"NM",5000,100000,ギラティナVSTAR UR s12a PSA10,true
pokemon,オリジンパルキアVSTAR,s12a VSTARユニバース,UR,"NM,LP",2000,30000,オリジンパルキアVSTAR UR s12a,true
pokemon,オリジンパルキアVSTAR,s12a VSTARユニバース,UR,"NM",5000,100000,オリジンパルキアVSTAR UR s12a PSA10,true
pokemon,オリジンディアルガVSTAR,s12a VSTARユニバース,UR,"NM,LP",2000,30000,オリジンディアルガVSTAR UR s12a,true
pokemon,オリジンディアルガVSTAR,s12a VSTARユニバース,UR,"NM",5000,100000,オリジンディアルガVSTAR UR s12a PSA10,true
pokemon,アルセウスVSTAR,s12a VSTARユニバース,UR,"NM,LP",2000,30000,アルセウスVSTAR UR s12a,true
pokemon,アルセウスVSTAR,s12a VSTARユニバース,UR,"NM",5000,100000,アルセウスVSTAR UR s12a PSA10,true
pokemon,カビゴン,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,カビゴン マスターボールミラー sv2a,true
pokemon,カビゴン,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,カビゴン マスターボールミラー sv2a PSA10,true
pokemon,ゲンガー,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,ゲンガー マスターボールミラー sv2a,true
pokemon,ゲンガー,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,ゲンガー マスターボールミラー sv2a PSA10,true
pokemon,ピカチュウ,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,ピカチュウ マスターボールミラー sv2a,true
pokemon,ピカチュウ,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,ピカチュウ マスターボールミラー sv2a PSA10,true
pokemon,ミュウツー,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,ミュウツー マスターボールミラー sv2a,true
pokemon,ミュウツー,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,ミュウツー マスターボールミラー sv2a PSA10,true
pokemon,カイリュー,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,カイリュー マスターボールミラー sv2a,true
pokemon,カイリュー,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,カイリュー マスターボールミラー sv2a PSA10,true
pokemon,エリカの招待,sv2a ポケモンカード151,マスターボールミラー,"NM,LP",1000,15000,エリカの招待 マスターボールミラー sv2a,true
pokemon,エリカの招待,sv2a ポケモンカード151,マスターボールミラー,"NM",3000,50000,エリカの招待 マスターボールミラー sv2a PSA10,true
pokemon,ゴッホピカチュウ,085/SVPEN 海外プロモ,プロモ,"NM,LP",300,8000,ゴッホピカチュウ プロモ 085/SVPEN,true
pokemon,ゴッホピカチュウ,085/SVPEN 海外プロモ,プロモ,"NM",1000,30000,ゴッホピカチュウ プロモ 085/SVPEN PSA10,true
pokemon,ムンクピカチュウ,288/SM-P プロモ,プロモ,"NM,LP",300,8000,ムンクピカチュウ プロモ 288/SM-P,true
pokemon,ムンクピカチュウ,288/SM-P プロモ,プロモ,"NM",1000,30000,ムンクピカチュウ プロモ 288/SM-P PSA10,true
pokemon,ムンクミミッキュ,289/SM-P プロモ,プロモ,"NM,LP",300,8000,ムンクミミッキュ プロモ 289/SM-P,true
pokemon,ムンクミミッキュ,289/SM-P プロモ,プロモ,"NM",1000,30000,ムンクミミッキュ プロモ 289/SM-P PSA10,true
pokemon,ムンクイーブイ,287/SM-P プロモ,プロモ,"NM,LP",300,8000,ムンクイーブイ プロモ 287/SM-P,true
pokemon,ムンクイーブイ,287/SM-P プロモ,プロモ,"NM",1000,30000,ムンクイーブイ プロモ 287/SM-P PSA10,true
pokemon,見返り美人ピカチュウ,227/S-P プロモ,プロモ,"NM,LP",300,8000,見返り美人ピカチュウ プロモ 227/S-P,true
pokemon,見返り美人ピカチュウ,227/S-P プロモ,プロモ,"NM",1000,30000,見返り美人ピカチュウ プロモ 227/S-P PSA10,true
pokemon,切手BOX ピカチュウ,227/S-P プロモ,プロモ,"NM,LP",300,8000,切手BOX ピカチュウ プロモ 227/S-P,true
pokemon,切手BOX ピカチュウ,227/S-P プロモ,プロモ,"NM",1000,30000,切手BOX ピカチュウ プロモ 227/S-P PSA10,true
pokemon,切手BOX ウッウ,226/S-P プロモ,プロモ,"NM,LP",300,8000,切手BOX ウッウ プロモ 226/S-P,true
pokemon,切手BOX ウッウ,226/S-P プロモ,プロモ,"NM",1000,30000,切手BOX ウッウ プロモ 226/S-P PSA10,true
pokemon,ポンチョを着たピカチュウ リザードン,207/XY-P プロモ,プロモ,"NM,LP",300,8000,ポンチョを着たピカチュウ リザードン プロモ 207/XY-P,true
